internal_slug,website_title,website_slug,payhip_url,headline,subhead,summary,inventory_bullets,outcome_bullets,inside_bullets,product_details
barbers,Barber Growth Bundle,barber-growth-bundle,https://payhip.com/b/vrW58,Barbers Growth Bundle,"A chair-filling content, booking, and client retention system for barbers and barbershops that want steadier demand.","The Barbers Growth Bundle helps barbers turn attention into booked chairs. It combines content planning, AI prompts, client communication, intake assets, review requests, and brand direction so the shop can show up consistently, reduce no-shows, and build a client experience people recommend.","- 8 polished PDF guides/workbooks
- 65 customer-facing pages
- 0 spreadsheets
- 4 AI prompts detected
- 61 templates/scripts/systems detected","- Fill the calendar with more consistent local demand.
- Improve booking, confirmation, review, and retention communication.
- Create sharper content without rebuilding every caption, offer, or client reply from scratch.","- AI Playbook Barbers (13 pages; 4 prompts, 16 templates/scripts/systems)
- 90-Day Content Calendar · Month 1 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 2 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 3 (5 pages; 1 templates/scripts/systems)
- Communication Templates Barbers (13 pages; 16 templates/scripts/systems)
- Brand Kit Barbers (10 pages; 13 templates/scripts/systems)
- Client Intake Barbers (9 pages; 5 templates/scripts/systems)
- 5 Free AI Prompts to Fill Your Chair (5 pages; 8 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
dog-walkers-and-pet-sitters,Dog Walker Growth Bundle,dog-walker-growth-bundle,https://payhip.com/b/GzObl,Dog Walkers & Pet Sitters Growth Bundle,"A warm, polished content, client, brand, and repeat-booking system for local pet-care pros.","The Dog Walkers & Pet Sitters Growth Bundle is built for trust-based local pet care. It brings together content planning, AI prompts, inquiry replies, care-update templates, client intake assets, review requests, referral prompts, and brand direction so the business can feel more organized before, during, and after every booking.","- 8 polished PDF guides/workbooks
- 70 customer-facing pages
- 0 spreadsheets
- 10 AI prompts detected
- 61 templates/scripts/systems detected","- Create a warmer, more professional client experience from first inquiry to repeat booking.
- Improve inquiry replies, onboarding, care updates, follow-up, reviews, and referrals.
- Show up consistently with content that builds local trust and owner confidence.","- AI Playbook Dog Walkers (15 pages; 5 prompts, 16 templates/scripts/systems)
- 90-Day Content Calendar Dog Walkers · Month 1 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar Dog Walkers · Month 2 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar Dog Walkers · Month 3 (5 pages; 1 templates/scripts/systems)
- Communication Templates Dog Walkers (16 pages; 19 templates/scripts/systems)
- Brand Kit Dog Walkers (11 pages; 16 templates/scripts/systems)
- Client Intake Dog Walkers (8 pages; 2 templates/scripts/systems)
- 5 AI Prompts for More Repeat Clients (5 pages; 5 prompts, 5 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
personal-trainers,Personal Trainer Growth Bundle,personal-trainer-growth-bundle,https://payhip.com/b/ERvnA,Personal Trainers Growth Bundle,"A fitness growth system for trainers who want clearer content, stronger onboarding, and better client retention.","The Personal Trainer Growth Bundle gives trainers a complete system for marketing, onboarding, follow-up, and client experience. It includes content calendars, AI prompts, email templates, brand direction, and onboarding scripts so trainers can sell their method with more clarity and keep clients moving.","- 8 polished PDF guides/workbooks
- 67 customer-facing pages
- 0 spreadsheets
- 5 AI prompts detected
- 75 templates/scripts/systems detected","- Create trust-building fitness content faster.
- Improve lead follow-up, client onboarding, and retention touchpoints.
- Position coaching packages with more clarity and confidence.","- AI Playbook Personal Trainers (12 pages; 19 templates/scripts/systems)
- 90-Day Social Calendar · Month 1 (6 pages; 1 templates/scripts/systems)
- 90-Day Social Calendar · Month 2 (6 pages; 3 templates/scripts/systems)
- 90-Day Social Calendar · Month 3 (6 pages; 9 templates/scripts/systems)
- Email Templates Personal Trainers (13 pages; 20 templates/scripts/systems)
- Brand Kit Personal Trainers (11 pages; 11 templates/scripts/systems)
- Onboarding Scripts Personal Trainers (8 pages; 9 templates/scripts/systems)
- 5 AI Prompts for More Training Clients (5 pages; 5 prompts, 3 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
personal-chefs,Personal Chef Growth Bundle,personal-chef-growth-bundle,https://payhip.com/b/eK8Ti,Personal Chefs Growth Bundle,"A premium client experience and marketing system for personal chefs, private dining, and meal-prep services.","The Personal Chef Growth Bundle helps culinary service providers look polished before the first call and stay organized after the booking. It includes proposal support, client questionnaires, content planning, email templates, brand direction, and AI prompts for premium client communication.","- 6 polished PDF guides/workbooks
- 55 customer-facing pages
- 0 spreadsheets
- 0 AI prompts detected
- 64 templates/scripts/systems detected","- Convert inquiries with more polished proposals and follow-up.
- Clarify menus, preferences, and expectations before service begins.
- Build a refined brand presence for private dining and recurring clients.","- 90-Day Content Calendar · Month 1 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 2 (5 pages; 3 templates/scripts/systems)
- 90-Day Content Calendar · Month 3 (5 pages; 2 templates/scripts/systems)
- Email Templates Personal Chefs (20 pages; 28 templates/scripts/systems)
- Brand Kit Personal Chefs (11 pages; 19 templates/scripts/systems)
- Client Questionnaire Personal Chefs (9 pages; 11 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
nannies-and-childcare-professionals,Nanny Professional Bundle,nanny-professional-bundle,https://payhip.com/b/B8fbY,Nannies & Childcare Professionals Growth Bundle,A trust-building professional toolkit for nannies and childcare providers who want stronger family inquiries and referrals.,"The Nanny Professional Bundle helps childcare professionals present their experience with clarity and confidence. It includes content guidance, AI prompts, family communication templates, professional toolkit assets, and brand direction designed for trust, safety, and long-term family relationships.","- 7 polished PDF guides/workbooks
- 59 customer-facing pages
- 0 spreadsheets
- 10 AI prompts detected
- 49 templates/scripts/systems detected","- Present experience, rates, expectations, and availability more professionally.
- Improve family inquiries, onboarding, communication, and referral systems.
- Build trust before interviews and trial days.","- AI Playbook Nannies (17 pages; 5 prompts, 18 templates/scripts/systems)
- 90-Day Content Calendar Nannies · Month 1 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar Nannies · Month 2 (6 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar Nannies · Month 3 (5 pages; 2 templates/scripts/systems)
- Brand Kit Nannies (11 pages; 19 templates/scripts/systems)
- Professional Toolkit Nannies (9 pages; 2 templates/scripts/systems)
- 5 AI Prompts for More Family Trust (6 pages; 5 prompts, 6 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
florists,Florist Growth Bundle,florist-growth-bundle,https://payhip.com/b/uH7m8,Florists Growth Bundle,"A floral studio growth system for stronger inquiries, proposals, partnerships, and seasonal campaigns.","The Florists Growth Bundle helps florists turn creative work into demand-building content and polished client communication. It includes a 90-day content calendar, AI playbook, email templates, brand kit, client questionnaire, and lead magnet for weddings, events, subscriptions, and local floral sales.","- 8 polished PDF guides/workbooks
- 49 customer-facing pages
- 0 spreadsheets
- 4 AI prompts detected
- 60 templates/scripts/systems detected","- Create seasonal and event-driven content with less guesswork.
- Improve inquiry, questionnaire, proposal, and follow-up communication.
- Build a more premium floral brand across weddings, events, and everyday sales.","- AI Playbook Florists (9 pages; 4 prompts, 15 templates/scripts/systems)
- 90-Day Content Calendar · Month 1 (4 pages; 2 templates/scripts/systems)
- 90-Day Content Calendar · Month 2 (4 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 3 (4 pages; 3 templates/scripts/systems)
- Email Templates Florists (11 pages; 16 templates/scripts/systems)
- Brand Kit Florists (7 pages; 13 templates/scripts/systems)
- Client Questionnaire (6 pages; 4 templates/scripts/systems)
- Florists Growth System (4 pages; 6 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
event-planners,Event Planner Growth Bundle,event-planner-growth-bundle,https://payhip.com/b/j19Iq,Event Planners Growth Bundle,"A planning business system for converting inquiries, managing expectations, and building referral-ready events.","The Event Planners Growth Bundle gives planners a structured set of marketing and client experience assets. It includes content calendars, AI prompts, email templates, brand direction, vendor/timeline tools, and lead magnets to support premium inquiries and smoother event execution.","- 8 polished PDF guides/workbooks
- 42 customer-facing pages
- 0 spreadsheets
- 0 AI prompts detected
- 39 templates/scripts/systems detected","- Convert inquiries with clearer positioning and follow-up.
- Create planning content that builds trust before the consultation.
- Strengthen vendor communication, timelines, and referral systems.","- AI Playbook Event Planners (8 pages; 9 templates/scripts/systems)
- 90-Day Social Calendar · Month 1 (4 pages; 1 templates/scripts/systems)
- 90-Day Social Calendar · Month 2 (4 pages; 1 templates/scripts/systems)
- 90-Day Social Calendar · Month 3 (4 pages; 1 templates/scripts/systems)
- Email Templates Event Planners (7 pages; 11 templates/scripts/systems)
- Brand Kit Event Planners (6 pages; 6 templates/scripts/systems)
- Vendor Timeline (5 pages; 7 templates/scripts/systems)
- Event Planners Growth System (4 pages; 3 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
videographers,Videographer Growth Bundle,videographer-growth-bundle,https://payhip.com/b/hofPG,Videographers Growth Bundle,"A cinematic growth system for wedding, corporate, and commercial videographers who want better inquiries, clearer client communication, stronger content, and a more premium studio experience.","The Videographers Growth Bundle turns the business side of video work into a clean operating system: inquiry responses, follow-ups, package presentation, pre-production questionnaires, delivery emails, review requests, vendor outreach, content calendars, AI prompts, and brand assets. It is built for creative video businesses that need polished systems without sounding generic.","- 9 polished PDF guides/workbooks
- 53 customer-facing pages
- 0 spreadsheets
- 52 AI prompts
- 137 templates/scripts/systems","- Convert more inquiries into calls and bookings.
- Present packages with stronger language and clearer next steps.
- Improve pre-production, delivery, review, and referral communication.
- Build a repeatable content and partnership system for weddings, corporate work, and commercial projects.","- Start Here - Videographer Growth System (5 pages; 18 templates/scripts/systems)
- Videographer AI Playbook (9 pages; 18 prompts; 26 templates/scripts/systems)
- 90-Day Content Calendar - Month 1 (5 pages; 3 prompts; 15 templates/scripts/systems)
- 90-Day Content Calendar - Month 2 (5 pages; 3 prompts; 15 templates/scripts/systems)
- 90-Day Content Calendar - Month 3 (5 pages; 3 prompts; 15 templates/scripts/systems)
- Videographer Client Communication Templates (7 pages; 29 templates/scripts/systems)
- Videographer Brand Kit (6 pages; 19 templates/scripts/systems)
- Videographer Questionnaire and Business Development Kit (7 pages; 22 templates/scripts/systems)
- 5 Free AI Prompts for Videographers (4 pages; 5 prompts; 8 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished PDF guides, AI prompts, calendars, templates, questionnaires, scripts, and brand systems"
public-speakers,Public Speaker Growth Bundle,public-speaker-growth-bundle,https://payhip.com/b/euQV6,Public Speakers Growth Bundle,"A speaker brand and booking system for paid talks, workshops, and authority-building content.","The Public Speaker Growth Bundle helps speakers package their message, build authority, and pursue better opportunities. It includes content planning, AI prompts, email templates, brand direction, business development assets, and a speaker lead magnet.","- 8 polished PDF guides/workbooks
- 50 customer-facing pages
- 0 spreadsheets
- 2 AI prompts detected
- 55 templates/scripts/systems detected","- Clarify speaker positioning, offers, and audience transformation.
- Create authority content and outreach assets faster.
- Support bookings, follow-up, and business development with stronger systems.","- AI Playbook Public Speakers (9 pages; 2 prompts, 12 templates/scripts/systems)
- 90-Day Content Calendar · Month 1 (4 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 2 (4 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 3 (4 pages; 2 templates/scripts/systems)
- Email Templates Public Speakers (12 pages; 19 templates/scripts/systems)
- Brand Kit Public Speakers (7 pages; 12 templates/scripts/systems)
- Business Development (6 pages; 3 templates/scripts/systems)
- Public Speakers Growth System (4 pages; 5 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
personal-stylists,Personal Stylist Growth Bundle,personal-stylist-growth-bundle,https://payhip.com/b/XNTp4,Personal Stylists Growth Bundle,"A boutique styling business system for consultations, wardrobe content, client follow-up, and premium personal-brand polish.","The Personal Stylist Growth Bundle helps stylists turn taste into a clear client experience. It includes content calendars, AI prompts, email templates, brand direction, style questionnaires, and client communication assets so the business can attract better-fit clients, guide consultations, and follow up with polish.","- 7 polished PDF guides/workbooks
- 61 customer-facing pages
- 0 spreadsheets
- 5 AI prompts detected
- 59 templates/scripts/systems detected","- Clarify the stylist's point of view and premium service positioning.
- Improve inquiry, consultation, questionnaire, post-session, and rebooking communication.
- Create refined wardrobe content and client touchpoints faster.","- 90-Day Content Calendar · Month 1 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 2 (5 pages; 1 templates/scripts/systems)
- 90-Day Content Calendar · Month 3 (5 pages; 1 templates/scripts/systems)
- Email Templates Personal Stylists (20 pages; 20 templates/scripts/systems)
- Brand Kit Personal Stylists (11 pages; 23 templates/scripts/systems)
- Client Style Questionnaire Stylists (9 pages; 2 templates/scripts/systems)
- 5 AI Prompts for Styling Clients (6 pages; 5 prompts, 11 templates/scripts/systems)","- Format: Digital download
- Delivery: Payhip secure checkout
- Access: Instant after purchase
- Includes: Polished digital guides, templates, calendars, prompts, and systems"
